#Release 13.2 - par O.61xd (lin64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Tue Aug 21 23:17:19 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       MUX4_hot_map.ncd
#OUTPUT FILE:      MUX4_hot_pad.csv
#PART TYPE:        xc5vlx330
#SPEED GRADE:      -2
#PACKAGE:          ff1760
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AJ15,,IOBS,IO_L0N_CC_RS0_2,UNUSED,,2,,,,,,,,,
AJ16,,IOBM,IO_L2P_A23_2,UNUSED,,2,,,,,,,,,
AJ17,,IOBS,IO_L2N_A22_2,UNUSED,,2,,,,,,,,,
AJ18,,IOBS,IO_L16N_6,UNUSED,,6,,,,,,,,,
AJ19,,,GND,,,,,,,,,,,,
AJ20,,IOBS,IO_L1N_8,UNUSED,,8,,,,,,,,,
AJ21,,IOBM,IO_L1P_8,UNUSED,,8,,,,,,,,,
AJ22,,IOBS,IO_L0N_8,UNUSED,,8,,,,,,,,,
AJ23,,IOBM,IO_L0P_8,UNUSED,,8,,,,,,,,,
AJ24,,,VCCINT,,,,,,,,1.0,,,,
AJ25,,IOBM,IO_L17P_6,UNUSED,,6,,,,,,,,,
AJ26,,IOBM,IO_L9P_D1_FS1_2,UNUSED,,2,,,,,,,,,
AJ27,,IOBS,IO_L9N_D0_FS0_2,UNUSED,,2,,,,,,,,,
AJ28,,IOBM,IO_L7P_D5_2,UNUSED,,2,,,,,,,,,
AJ29,,,GND,,,,,,,,,,,,
AJ30,,IOBS,IO_L3N_A20_2,UNUSED,,2,,,,,,,,,
AJ31,,IOBS,IO_L3N_25,UNUSED,,25,,,,,,,,,
AJ32,,IOBM,IO_L17P_25,UNUSED,,25,,,,,,,,,
AJ33,,IOBS,IO_L16N_25,UNUSED,,25,,,,,,,,,
AJ34,,,VCCO_21,,,21,,,,,any******,,,,
AJ35,,IOBM,IO_L17P_21,UNUSED,,21,,,,,,,,,
AJ36,,IOBS,IO_L16N_21,UNUSED,,21,,,,,,,,,
AJ37,,IOBM,IO_L15P_17,UNUSED,,17,,,,,,,,,
AJ38,,IOBM,IO_L13P_17,UNUSED,,17,,,,,,,,,
AJ39,,,GND,,,,,,,,,,,,
AJ40,,IOBS,IO_L7N_SM2N_13,UNUSED,,13,,,,,,,,,
AJ41,,IOBS,IO_L6N_SM3N_13,UNUSED,,13,,,,,,,,,
AJ42,,IOBM,IO_L6P_SM3P_13,UNUSED,,13,,,,,,,,,
AK1,,,GND,,,,,,,,,,,,
AK2,,IOBM,IO_L13P_14,UNUSED,,14,,,,,,,,,
AK3,,IOBS,IO_L12N_VRP_14,UNUSED,,14,,,,,,,,,
AK4,,IOBS,IO_L12N_VRP_18,UNUSED,,18,,,,,,,,,
AK5,,IOBM,IO_L15P_18,UNUSED,,18,,,,,,,,,
AK6,,,GND,,,,,,,,,,,,
AK7,,IOBS,IO_L5N_22,UNUSED,,22,,,,,,,,,
AK8,,IOBM,IO_L10P_CC_22,UNUSED,,22,,,,,,,,,
AK9,,IOBS,IO_L11N_CC_22,UNUSED,,22,,,,,,,,,
AK10,,IOBM,IO_L17P_26,UNUSED,,26,,,,,,,,,
AK11,,,GND,,,,,,,,,,,,
AK12,,IOBS,IO_L19N_26,UNUSED,,26,,,,,,,,,
AK13,,IOBS,IO_L6N_D6_2,UNUSED,,2,,,,,,,,,
AK14,,IOBM,IO_L4P_FCS_B_2,UNUSED,,2,,,,,,,,,
AK15,,IOBS,IO_L4N_VREF_FOE_B_MOSI_2,UNUSED,,2,,,,,,,,,
AK16,,,GND,,,,,,,,,,,,
AK17,,IOBS,IO_L1N_GC_D12_4,UNUSED,,4,,,,,,,,,
AK18,,IOBM,IO_L1P_6,UNUSED,,6,,,,,,,,,
AK19,,IOBM,IO_L16P_6,UNUSED,,6,,,,,,,,,
AK20,,IOBM,IO_L3P_8,UNUSED,,8,,,,,,,,,
AK21,,,GND,,,,,,,,,,,,
AK22,,IOBS,IO_L2N_8,UNUSED,,8,,,,,,,,,
AK23,,IOBM,IO_L2P_8,UNUSED,,8,,,,,,,,,
AK24,,IOBS,IO_L17N_6,UNUSED,,6,,,,,,,,,
AK25,,IOBS,IO_L19N_6,UNUSED,,6,,,,,,,,,
AK26,,,GND,,,,,,,,,,,,
AK27,,IOBS,IO_L0N_GC_D14_4,UNUSED,,4,,,,,,,,,
AK28,,IOBM,IO_L0P_GC_D15_4,UNUSED,,4,,,,,,,,,
AK29,,IOBS,IO_L7N_D4_2,UNUSED,,2,,,,,,,,,
AK30,,IOBM,IO_L3P_A21_2,UNUSED,,2,,,,,,,,,
AK31,,,GND,,,,,,,,,,,,
AK32,,IOBS,IO_L17N_25,UNUSED,,25,,,,,,,,,
AK33,,IOBM,IO_L16P_25,UNUSED,,25,,,,,,,,,
AK34,,IOBS,IO_L19N_21,UNUSED,,21,,,,,,,,,
AK35,,IOBS,IO_L17N_21,UNUSED,,21,,,,,,,,,
AK36,,,GND,,,,,,,,,,,,
AK37,,IOBS,IO_L14N_VREF_17,UNUSED,,17,,,,,,,,,
AK38,,IOBM,IO_L14P_17,UNUSED,,17,,,,,,,,,
AK39,,IOBS,IO_L13N_17,UNUSED,,17,,,,,,,,,
AK40,,IOBM,IO_L12P_VRN_13,UNUSED,,13,,,,,,,,,
AK41,,,GND,,,,,,,,,,,,
AK42,,IOBS,IO_L13N_13,UNUSED,,13,,,,,,,,,
AL1,,IOBS,IO_L15N_14,UNUSED,,14,,,,,,,,,
AL2,,IOBM,IO_L12P_VRN_14,UNUSED,,14,,,,,,,,,
AL3,,,GND,,,,,,,,,,,,
AL4,,IOBS,IO_L15N_18,UNUSED,,18,,,,,,,,,
AL5,,IOBS,IO_L14N_VREF_18,UNUSED,,18,,,,,,,,,
AL6,,IOBM,IO_L14P_18,UNUSED,,18,,,,,,,,,
AL7,,IOBS,IO_L10N_CC_22,UNUSED,,22,,,,,,,,,
AL8,,,VCCO_22,,,22,,,,,any******,,,,
AL9,,IOBM,IO_L11P_CC_22,UNUSED,,22,,,,,,,,,
AL10,,IOBS,IO_L17N_26,UNUSED,,26,,,,,,,,,
AL11,,IOBM,IO_L16P_26,UNUSED,,26,,,,,,,,,
AL12,,IOBS,IO_L16N_26,UNUSED,,26,,,,,,,,,
AL13,,,GND,,,,,,,,,,,,
AL14,,IOBS,IO_L8N_D2_FS2_2,UNUSED,,2,,,,,,,,,
AL15,,IOBM,IO_L8P_D3_2,UNUSED,,2,,,,,,,,,
AL16,,IOBM,IO_L1P_GC_D13_4,UNUSED,,4,,,,,,,,,
AL17,,IOBS,IO_L1N_6,UNUSED,,6,,,,,,,,,
AL18,,,GND,,,,,,,,,,,,
AL19,,IOBM,IO_L18P_6,UNUSED,,6,,,,,,,,,
AL20,,IOBS,IO_L3N_8,UNUSED,,8,,,,,,,,,
AL21,,IOBS,IO_L5N_8,UNUSED,,8,,,,,,,,,
AL22,,IOBM,IO_L17P_8,UNUSED,,8,,,,,,,,,
AL23,,,GND,,,,,,,,,,,,
AL24,,IOBM,IO_L19P_6,UNUSED,,6,,,,,,,,,
AL25,,IOBM,IO_L15P_6,UNUSED,,6,,,,,,,,,
AL26,,IOBM,IO_L0P_6,UNUSED,,6,,,,,,,,,
AL27,,IOBM,IO_L8P_CC_GC_4,UNUSED,,4,,,,,,,,,
AL28,,,VCCO_0,,,0,,,,,any******,,,,
AL29,,IOBM,IO_L5P_FWE_B_2,UNUSED,,2,,,,,,,,,
AL30,,IOBS,IO_L5N_CSO_B_2,UNUSED,,2,,,,,,,,,
AL31,,IOBM,IO_L19P_25,UNUSED,,25,,,,,,,,,
AL32,,IOBM,IO_L18P_25,UNUSED,,25,,,,,,,,,
AL33,,,GND,,,,,,,,,,,,
AL34,,IOBM,IO_L19P_21,UNUSED,,21,,,,,,,,,
AL35,,IOBS,IO_L18N_21,UNUSED,,21,,,,,,,,,
AL36,,IOBM,IO_L18P_21,UNUSED,,21,,,,,,,,,
AL37,,IOBS,IO_L19N_17,UNUSED,,17,,,,,,,,,
AL38,,,VCCO_21,,,21,,,,,any******,,,,
AL39,,IOBM,IO_L16P_17,UNUSED,,17,,,,,,,,,
AL40,,IOBS,IO_L12N_VRP_13,UNUSED,,13,,,,,,,,,
AL41,,IOBM,IO_L13P_13,UNUSED,,13,,,,,,,,,
AL42,,IOBM,IO_L14P_13,UNUSED,,13,,,,,,,,,
AM1,,IOBM,IO_L15P_14,UNUSED,,14,,,,,,,,,
AM2,,IOBS,IO_L14N_VREF_14,UNUSED,,14,,,,,,,,,
AM3,,IOBM,IO_L14P_14,UNUSED,,14,,,,,,,,,
AM4,,IOBS,IO_L17N_18,UNUSED,,18,,,,,,,,,
AM5,,,VCCO_22,,,22,,,,,any******,,,,
AM6,,IOBM,IO_L19P_18,UNUSED,,18,,,,,,,,,
AM7,,IOBM,IO_L12P_VRN_22,UNUSED,,22,,,,,,,,,
AM8,,IOBS,IO_L13N_22,UNUSED,,22,,,,,,,,,
AM9,,IOBM,IO_L13P_26,UNUSED,,26,,,,,,,,,
AM10,,,GND,,,,,,,,,,,,
AM11,,IOBS,IO_L15N_26,UNUSED,,26,,,,,,,,,
AM12,,IOBM,IO_L15P_26,UNUSED,,26,,,,,,,,,
AM13,,IOBM,IO_L5P_GC_4,UNUSED,,4,,,,,,,,,
AM14,,IOBS,IO_L5N_GC_4,UNUSED,,4,,,,,,,,,
AM15,,,GND,,,,,,,,,,,,
AM16,,IOBS,IO_L3N_GC_D8_4,UNUSED,,4,,,,,,,,,
AM17,,IOBS,IO_L3N_6,UNUSED,,6,,,,,,,,,
AM18,,IOBM,IO_L3P_6,UNUSED,,6,,,,,,,,,
AM19,,IOBS,IO_L18N_6,UNUSED,,6,,,,,,,,,
AM20,,,GND,,,,,,,,,,,,
AM21,,IOBM,IO_L5P_8,UNUSED,,8,,,,,,,,,
AM22,,IOBS,IO_L17N_8,UNUSED,,8,,,,,,,,,
AM23,,IOBM,IO_L15P_8,UNUSED,,8,,,,,,,,,
AM24,,IOBS,IO_L15N_6,UNUSED,,6,,,,,,,,,
AM25,,,GND,,,,,,,,,,,,
AM26,,IOBS,IO_L0N_6,UNUSED,,6,,,,,,,,,
AM27,,IOBS,IO_L8N_CC_GC_4,UNUSED,,4,,,,,,,,,
AM28,,IOBM,IO_L6P_GC_4,UNUSED,,4,,,,,,,,,
AM29,,IOBM,IO_L2P_GC_D11_4,UNUSED,,4,,,,,,,,,
AM30,,,GND,,,,,,,,,,,,
AM31,,IOBS,IO_L19N_25,UNUSED,,25,,,,,,,,,
AM32,,IOBS,IO_L18N_25,UNUSED,,25,,,,,,,,,
AM33,,IOBS,IO_L15N_25,UNUSED,,25,,,,,,,,,
AM34,,IOBS,IO_L15N_21,UNUSED,,21,,,,,,,,,
AM35,,,VCCO_21,,,21,,,,,any******,,,,
AM36,,IOBM,IO_L14P_21,UNUSED,,21,,,,,,,,,
AM37,,IOBM,IO_L19P_17,UNUSED,,17,,,,,,,,,
AM38,,IOBS,IO_L18N_17,UNUSED,,17,,,,,,,,,
AM39,,IOBS,IO_L16N_17,UNUSED,,17,,,,,,,,,
AM40,,,GND,,,,,,,,,,,,
AM41,,IOBM,IO_L15P_13,UNUSED,,13,,,,,,,,,
AM42,,IOBS,IO_L14N_VREF_13,UNUSED,,13,,,,,,,,,
AN1,,IOBS,IO_L17N_14,UNUSED,,14,,,,,,,,,
AN2,,,GND,,,,,,,,,,,,
AN3,,IOBS,IO_L16N_18,UNUSED,,18,,,,,,,,,
AN4,,IOBM,IO_L17P_18,UNUSED,,18,,,,,,,,,
AN5,,IOBS,IO_L19N_18,UNUSED,,18,,,,,,,,,
AN6,,IOBS,IO_L12N_VRP_22,UNUSED,,22,,,,,,,,,
AN7,,,GND,,,,,,,,,,,,
AN8,,IOBM,IO_L13P_22,UNUSED,,22,,,,,,,,,
AN9,,IOBM,IO_L12P_VRN_26,UNUSED,,26,,,,,,,,,
AN10,,IOBS,IO_L13N_26,UNUSED,,26,,,,,,,,,
AN11,,IOBM,IO_L14P_26,UNUSED,,26,,,,,,,,,
AN12,,,GND,,,,,,,,,,,,
AN13,,IOBS,IO_L9N_CC_GC_4,UNUSED,,4,,,,,,,,,
AN14,,IOBS,IO_L7N_GC_VRP_4,UNUSED,,4,,,,,,,,,
AN15,,IOBM,IO_L7P_GC_VRN_4,UNUSED,,4,,,,,,,,,
AN16,,IOBM,IO_L3P_GC_D9_4,UNUSED,,4,,,,,,,,,
AN17,,,GND,,,,,,,,,,,,
AN18,,IOBM,IO_L5P_6,UNUSED,,6,,,,,,,,,
AN19,,IOBM,IO_L7P_6,UNUSED,,6,,,,,,,,,
AN20,,IOBS,IO_L7N_8,UNUSED,,8,,,,,,,,,
AN21,,IOBM,IO_L9P_CC_8,UNUSED,,8,,,,,,,,,
AN22,,,GND,,,,,,,,,,,,
AN23,,IOBS,IO_L15N_8,UNUSED,,8,,,,,,,,,
AN24,,IOBS,IO_L13N_8,UNUSED,,8,,,,,,,,,
AN25,,IOBS,IO_L4N_VREF_6,UNUSED,,6,,,,,,,,,
AN26,,IOBM,IO_L4P_6,UNUSED,,6,,,,,,,,,
AN27,,,GND,,,,,,,,,,,,
AN28,,IOBS,IO_L6N_GC_4,UNUSED,,4,,,,,,,,,
AN29,,IOBS,IO_L4N_GC_VREF_4,UNUSED,,4,,,,,,,,,
AN30,,IOBS,IO_L2N_GC_D10_4,UNUSED,,4,,,,,,,,,
AN31,,IOBS,IO_L12N_VRP_25,UNUSED,,25,,,,,,,,,
AN32,,,GND,,,,,,,,,,,,
AN33,,IOBM,IO_L15P_25,UNUSED,,25,,,,,,,,,
AN34,,IOBM,IO_L15P_21,UNUSED,,21,,,,,,,,,
AN35,,IOBS,IO_L14N_VREF_21,UNUSED,,21,,,,,,,,,
AN36,,IOBS,IO_L13N_21,UNUSED,,21,,,,,,,,,
AN37,,,GND,,,,,,,,,,,,
AN38,,IOBM,IO_L18P_17,UNUSED,,17,,,,,,,,,
AN39,,IOBM,IO_L17P_17,UNUSED,,17,,,,,,,,,
AN40,,IOBM,IO_L8P_CC_17,UNUSED,,17,,,,,,,,,
AN41,,IOBS,IO_L15N_13,UNUSED,,13,,,,,,,,,
AN42,,,GND,,,,,,,,,,,,
AP1,,IOBM,IO_L17P_14,UNUSED,,14,,,,,,,,,
AP2,,IOBS,IO_L16N_14,UNUSED,,14,,,,,,,,,
AP3,,IOBM,IO_L16P_18,UNUSED,,18,,,,,,,,,
AP4,,,GND,,,,,,,,,,,,
AP5,,IOBS,IO_L14N_VREF_22,UNUSED,,22,,,,,,,,,
AP6,,IOBS,IO_L15N_22,UNUSED,,22,,,,,,,,,
AP7,,IOBM,IO_L15P_22,UNUSED,,22,,,,,,,,,
AP8,,IOBS,IO_L12N_VRP_26,UNUSED,,26,,,,,,,,,
AP9,,,VCCO_22,,,22,,,,,any******,,,,
AP10,,IOBS,IO_L14N_VREF_26,UNUSED,,26,,,,,,,,,
AP11,,IOBM,IO_L11P_CC_26,UNUSED,,26,,,,,,,,,
AP12,,IOBS,IO_L11N_CC_26,UNUSED,,26,,,,,,,,,
AP13,,IOBM,IO_L9P_CC_GC_4,UNUSED,,4,,,,,,,,,
AP14,,,GND,,,,,,,,,,,,
AP15,,IOBS,IO_L9N_CC_6,UNUSED,,6,,,,,,,,,
AP16,,IOBM,IO_L12P_VRN_6,UNUSED,,6,,,,,,,,,
AP17,,IOBS,IO_L5N_6,UNUSED,,6,,,,,,,,,
AP18,,IOBS,IO_L7N_6,UNUSED,,6,,,,,,,,,
AP19,,,VCCO_8,,,8,,,,,any******,,,,
AP20,,IOBM,IO_L7P_8,UNUSED,,8,,,,,,,,,
AP21,,IOBS,IO_L9N_CC_8,UNUSED,,8,,,,,,,,,
AP22,,IOBS,IO_L19N_8,UNUSED,,8,,,,,,,,,
AP23,,IOBM,IO_L13P_8,UNUSED,,8,,,,,,,,,
AP24,,,GND,,,,,,,,,,,,
AP25,,IOBM,IO_L4P_8,UNUSED,,8,,,,,,,,,
AP26,,IOBM,IO_L6P_6,UNUSED,,6,,,,,,,,,
AP27,,IOBS,IO_L2N_6,UNUSED,,6,,,,,,,,,
AP28,,IOBM,IO_L2P_6,UNUSED,,6,,,,,,,,,
AP29,,,GND,,,,,,,,,,,,
AP30,,IOBM,IO_L4P_GC_4,UNUSED,,4,,,,,,,,,
AP31,,IOBM,IO_L12P_VRN_25,UNUSED,,25,,,,,,,,,
AP32,,IOBS,IO_L13N_25,UNUSED,,25,,,,,,,,,
AP33,,IOBS,IO_L14N_VREF_25,UNUSED,,25,,,,,,,,,
AP34,,,GND,,,,,,,,,,,,
AP35,,IOBM,IO_L13P_21,UNUSED,,21,,,,,,,,,
AP36,,IOBS,IO_L12N_VRP_21,UNUSED,,21,,,,,,,,,
AP37,,IOBM,IO_L12P_VRN_21,UNUSED,,21,,,,,,,,,
AP38,,IOBS,IO_L17N_17,UNUSED,,17,,,,,,,,,
AP39,,,VCCO_25,,,25,,,,,any******,,,,
AP40,,IOBS,IO_L8N_CC_17,UNUSED,,17,,,,,,,,,
AP41,,IOBS,IO_L16N_13,UNUSED,,13,,,,,,,,,
AP42,,IOBM,IO_L16P_13,UNUSED,,13,,,,,,,,,
AR1,,,GND,,,,,,,,,,,,
AR2,,IOBM,IO_L16P_14,UNUSED,,14,,,,,,,,,
AR3,,IOBM,IO_L18P_18,UNUSED,,18,,,,,,,,,
AR4,,IOBS,IO_L18N_18,UNUSED,,18,,,,,,,,,
AR5,,IOBM,IO_L14P_22,UNUSED,,22,,,,,,,,,
AR6,,,VCCO_26,,,26,,,,,any******,,,,
AR7,,IOBM,IO_L3P_26,UNUSED,,26,,,,,,,,,
AR8,,IOBS,IO_L3N_26,UNUSED,,26,,,,,,,,,
AR9,,IOBM,IO_L9P_CC_26,UNUSED,,26,,,,,,,,,
AR10,,IOBS,IO_L9N_CC_26,UNUSED,,26,,,,,,,,,
AR11,,,GND,,,,,,,,,,,,
AR12,,IOBM,IO_L10P_CC_26,UNUSED,,26,,,,,,,,,
AR13,,IOBM,IO_L10P_CC_6,UNUSED,,6,,,,,,,,,
AR14,,IOBS,IO_L10N_CC_6,UNUSED,,6,,,,,,,,,
AR15,,IOBM,IO_L9P_CC_6,UNUSED,,6,,,,,,,,,
AR16,,,VCCO_8,,,8,,,,,any******,,,,
AR17,,IOBS,IO_L12N_VRP_6,UNUSED,,6,,,,,,,,,
AR18,,IOBM,IO_L10P_CC_8,UNUSED,,8,,,,,,,,,
AR19,,IOBS,IO_L10N_CC_8,UNUSED,,8,,,,,,,,,
AR20,,IOBM,IO_L14P_8,UNUSED,,8,,,,,,,,,
AR21,,,GND,,,,,,,,,,,,
AR22,,IOBM,IO_L19P_8,UNUSED,,8,,,,,,,,,
AR23,,IOBM,IO_L11P_CC_8,UNUSED,,8,,,,,,,,,
AR24,,IOBS,IO_L11N_CC_8,UNUSED,,8,,,,,,,,,
AR25,,IOBS,IO_L4N_VREF_8,UNUSED,,8,,,,,,,,,
AR26,,,VCCO_2,,,2,,,,,any******,,,,
AR27,,IOBS,IO_L6N_6,UNUSED,,6,,,,,,,,,
AR28,,IOBM,IO_L8P_CC_6,UNUSED,,6,,,,,,,,,
AR29,,IOBS,IO_L8N_CC_6,UNUSED,,6,,,,,,,,,
AR30,,IOBS,IO_L11N_CC_6,UNUSED,,6,,,,,,,,,
AR31,,,GND,,,,,,,,,,,,
AR32,,IOBM,IO_L13P_25,UNUSED,,25,,,,,,,,,
AR33,,IOBM,IO_L14P_25,UNUSED,,25,,,,,,,,,
AR34,,IOBS,IO_L7N_25,UNUSED,,25,,,,,,,,,
AR35,,IOBM,IO_L7P_25,UNUSED,,25,,,,,,,,,
AR36,,,VCCO_25,,,25,,,,,any******,,,,
AR37,,IOBM,IO_L7P_21,UNUSED,,21,,,,,,,,,
AR38,,IOBS,IO_L6N_21,UNUSED,,21,,,,,,,,,
AR39,,IOBS,IO_L11N_CC_17,UNUSED,,17,,,,,,,,,
AR40,,IOBM,IO_L9P_CC_17,UNUSED,,17,,,,,,,,,
AR41,,,GND,,,,,,,,,,,,
AR42,,IOBM,IO_L17P_13,UNUSED,,13,,,,,,,,,
AT1,,IOBM,IO_L18P_14,UNUSED,,14,,,,,,,,,
AT2,,IOBS,IO_L18N_14,UNUSED,,14,,,,,,,,,
AT3,,,VCCO_26,,,26,,,,,any******,,,,
AT4,,IOBS,IO_L17N_22,UNUSED,,22,,,,,,,,,
AT5,,IOBM,IO_L18P_22,UNUSED,,22,,,,,,,,,
AT6,,IOBS,IO_L18N_22,UNUSED,,22,,,,,,,,,
AT7,,IOBM,IO_L2P_26,UNUSED,,26,,,,,,,,,
AT8,,,GND,,,,,,,,,,,,
AT9,,IOBS,IO_L4N_VREF_26,UNUSED,,26,,,,,,,,,
AT10,,IOBM,IO_L8P_CC_26,UNUSED,,26,,,,,,,,,
AT11,,IOBS,IO_L8N_CC_26,UNUSED,,26,,,,,,,,,
AT12,,IOBS,IO_L10N_CC_26,UNUSED,,26,,,,,,,,,
AT13,,,VCCO_34,,,34,,,,,any******,,,,
AT14,,IOBM,IO_L14P_6,UNUSED,,6,,,,,,,,,
AT15,,IOBS,IO_L14N_VREF_6,UNUSED,,6,,,,,,,,,
AT16,,IOBM,IO_L12P_VRN_8,UNUSED,,8,,,,,,,,,
AT17,,IOBS,IO_L12N_VRP_8,UNUSED,,8,,,,,,,,,
AT18,,,GND,,,,,,,,,,,,
AT19,,IOBS,IO_L14N_VREF_8,UNUSED,,8,,,,,,,,,
AT20,,IOBM,IO_L16P_8,UNUSED,,8,,,,,,,,,
AT21,,IOBS,IO_L16N_8,UNUSED,,8,,,,,,,,,
AT22,,IOBS,IO_L18N_8,UNUSED,,8,,,,,,,,,
AT23,,,VCCO_6,,,6,,,,,any******,,,,
AT24,,IOBS,IO_L8N_CC_8,UNUSED,,8,,,,,,,,,
AT25,,IOBM,IO_L8P_CC_8,UNUSED,,8,,,,,,,,,
AT26,,IOBS,IO_L6N_8,UNUSED,,8,,,,,,,,,
AT27,,IOBM,IO_L6P_8,UNUSED,,8,,,,,,,,,
AT28,,,GND,,,,,,,,,,,,
AT29,,IOBS,IO_L13N_6,UNUSED,,6,,,,,,,,,
AT30,,IOBM,IO_L11P_CC_6,UNUSED,,6,,,,,,,,,
AT31,,IOBS,IO_L11N_CC_25,UNUSED,,25,,,,,,,,,
AT32,,IOBM,IO_L11P_CC_25,UNUSED,,25,,,,,,,,,
AT33,,,VCCO_29,,,29,,,,,any******,,,,
AT34,,IOBS,IO_L6N_25,UNUSED,,25,,,,,,,,,
AT35,,IOBS,IO_L5N_25,UNUSED,,25,,,,,,,,,
AT36,,IOBS,IO_L7N_21,UNUSED,,21,,,,,,,,,
AT37,,IOBM,IO_L6P_21,UNUSED,,21,,,,,,,,,
AT38,,,GND,,,,,,,,,,,,
AT39,,IOBM,IO_L11P_CC_17,UNUSED,,17,,,,,,,,,
AT40,,IOBS,IO_L9N_CC_17,UNUSED,,17,,,,,,,,,
AT41,,IOBM,IO_L18P_13,UNUSED,,13,,,,,,,,,
AT42,,IOBS,IO_L17N_13,UNUSED,,13,,,,,,,,,
AU1,,IOBS,IO_L19N_14,UNUSED,,14,,,,,,,,,
AU2,,IOBM,IO_L19P_14,UNUSED,,14,,,,,,,,,
AU3,,IOBS,IO_L19N_22,UNUSED,,22,,,,,,,,,
AU4,,IOBM,IO_L17P_22,UNUSED,,22,,,,,,,,,
AU5,,,GND,,,,,,,,,,,,
AU6,,IOBS,IO_L2N_26,UNUSED,,26,,,,,,,,,
AU7,,IOBS,IO_L0N_26,UNUSED,,26,,,,,,,,,
AU8,,IOBM,IO_L1P_26,UNUSED,,26,,,,,,,,,
AU9,,IOBM,IO_L4P_26,UNUSED,,26,,,,,,,,,
AU10,,,VCCO_30,,,30,,,,,any******,,,,
AU11,,IOBS,IO_L7N_26,UNUSED,,26,,,,,,,,,
AU12,,IOBS,IO_L6N_26,UNUSED,,26,,,,,,,,,
AU13,,IOBM,IO_L6P_26,UNUSED,,26,,,,,,,,,
AU14,,IOBM,IO_L18P_33,UNUSED,,33,,,,,,,,,
AU15,,,GND,,,,,,,,,,,,
AU16,,IOBS,IO_L14N_VREF_33,UNUSED,,33,,,,,,,,,
AU17,,IOBM,IO_L14P_33,UNUSED,,33,,,,,,,,,
AU18,,IOBM,IO_L12P_VRN_33,UNUSED,,33,,,,,,,,,
AU19,,IOBS,IO_L12N_VRP_33,UNUSED,,33,,,,,,,,,
AU20,,,VCCO_8,,,8,,,,,any******,,,,
AU21,,IOBM,IO_L18P_8,UNUSED,,8,,,,,,,,,
AU22,,IOBS,IO_L9N_CC_33,UNUSED,,33,,,,,,,,,
AU23,,IOBM,IO_L9P_CC_33,UNUSED,,33,,,,,,,,,
AU24,,IOBS,IO_L3N_33,UNUSED,,33,,,,,,,,,
AU25,,,GND,,,,,,,,,,,,
AU26,,IOBS,IO_L1N_33,UNUSED,,33,,,,,,,,,
AU27,,IOBS,IO_L4N_VREF_33,UNUSED,,33,,,,,,,,,
AU28,,IOBM,IO_L4P_33,UNUSED,,33,,,,,,,,,
AU29,,IOBM,IO_L13P_6,UNUSED,,6,,,,,,,,,
AU30,,,VCCO_33,,,33,,,,,any******,,,,
AU31,,IOBS,IO_L10N_CC_25,UNUSED,,25,,,,,,,,,
AU32,,IOBM,IO_L8P_CC_25,UNUSED,,25,,,,,,,,,
AU33,,IOBS,IO_L8N_CC_25,UNUSED,,25,,,,,,,,,
AU34,,IOBM,IO_L6P_25,UNUSED,,25,,,,,,,,,
AU35,,,GND,,,,,,,,,,,,
AU36,,IOBM,IO_L5P_25,UNUSED,,25,,,,,,,,,
AU37,,IOBS,IO_L5N_21,UNUSED,,21,,,,,,,,,
AU38,,IOBM,IO_L5P_21,UNUSED,,21,,,,,,,,,
AU39,,IOBS,IO_L10N_CC_17,UNUSED,,17,,,,,,,,,
AU40,,,VCCO_25,,,25,,,,,any******,,,,
AU41,,IOBS,IO_L18N_13,UNUSED,,13,,,,,,,,,
AU42,,IOBM,IO_L19P_13,UNUSED,,13,,,,,,,,,
AV1,,IOBM,IO_L0P_30,UNUSED,,30,,,,,,,,,
AV2,,,GND,,,,,,,,,,,,
AV3,,IOBM,IO_L19P_22,UNUSED,,22,,,,,,,,,
AV4,,IOBS,IO_L16N_22,UNUSED,,22,,,,,,,,,
AV5,,IOBM,IO_L16P_22,UNUSED,,22,,,,,,,,,
AV6,,IOBM,IO_L0P_26,UNUSED,,26,,,,,,,,,
AV7,,,VCCO_30,,,30,,,,,any******,,,,
AV8,,IOBS,IO_L1N_26,UNUSED,,26,,,,,,,,,
AV9,,IOBS,IO_L5N_26,UNUSED,,26,,,,,,,,,
AV10,,IOBM,IO_L5P_26,UNUSED,,26,,,,,,,,,
AV11,,IOBM,IO_L7P_26,UNUSED,,26,,,,,,,,,
AV12,,,GND,,,,,,,,,,,,
AV13,,IOBM,IO_L16P_33,UNUSED,,33,,,,,,,,,
AV14,,IOBS,IO_L18N_33,UNUSED,,33,,,,,,,,,
AV15,,IOBS,IO_L19N_33,UNUSED,,33,,,,,,,,,
AV16,,IOBS,IO_L17N_33,UNUSED,,33,,,,,,,,,
AV17,,,VCCO_4,,,4,,,,,any******,,,,
AV18,,IOBS,IO_L15N_33,UNUSED,,33,,,,,,,,,
